Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,7,49,24,49.0,2.16,01.06,0.14,0.29,12.9,0,0,0,7.1,7.1,0.14,-0.1,-0.1,Matches
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,1,13,4,30.8,0.64,0.20,0.08,0.25,16.9,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1.00,9.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,2,5,2,40.0,0.49,0.20,0.40,1.00,5.8,0,0,0,1.1,1.1,0.23,+0.9,+0.9,Matches
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,1,4,1,25.0,0.32,0.08,0.25,1.00,16.7,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,1,25,6,24.0,1.47,0.35,0.04,0.17,18.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,51,14,27.5,1.61,0.44,0.04,0.14,23.0,5,0,0,2.7,2.7,0.05,-0.7,-0.7,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Allan,br BRA,MF,Everton,30,1991,24.3,0,7,3,42.9,0.29,0.12,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,1,4,2,50.0,0.55,0.27,0.00,0.00,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7,Matches
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,0,3,0,0.0,0.80,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,18.7,0,0,0,2.1,2.1,0.06,-1.1,-1.1,Matches
