Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,0.00,0.41,0.06,15.4,0.41,0.06,0.00,0.00,20.5,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,0.31,2.16,01.06,49.0,2.16,01.06,0.14,0.29,12.9,0.00,0.00,0.00,0.31,0.31,0.14,-0.00,-0.00,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,0.05,0.64,0.20,30.8,0.64,0.20,0.08,0.25,16.9,0.00,0.00,0.00,0.03,0.03,0.06,0.01,0.01,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,0.05,0.32,0.05,14.3,0.32,0.05,0.14,1.00,9.1,0.00,0.00,0.00,0.04,0.04,0.11,0.01,0.01,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,0.19,0.49,0.19,40.0,0.49,0.20,0.40,1.00,5.8,0.00,0.00,0.00,0.11,0.11,0.23,0.09,0.09,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,0.08,0.32,0.08,25.0,0.32,0.08,0.25,1.00,16.7,0.00,0.00,0.00,0.04,0.04,0.13,0.04,0.04,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,0.06,1.47,0.35,24.0,1.47,0.35,0.04,0.17,18.2,0.00,0.00,0.00,0.11,0.11,0.08,-0.05,-0.05,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,0.06,1.61,0.44,27.5,1.61,0.44,0.04,0.14,23.0,0.16,0.00,0.00,0.09,0.09,0.05,-0.02,-0.02,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,0.00,0.29,0.12,42.9,0.29,0.12,0.00,0.00,24.1,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches,cc700722
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,0.14,0.55,0.27,50.0,0.55,0.27,0.00,0.00,18.2,0.00,0.14,0.14,0.21,0.10,0.18,-0.07,-0.10,Matches,cea4ee8f
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,0.00,0.79,0.00,0.0,0.80,0.00,0.00,,19.3,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,0.05,1.68,0.37,21.9,1.68,0.37,0.03,0.14,18.7,0.00,0.00,0.00,0.11,0.11,0.06,-0.06,-0.06,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,0.17,1.78,0.41,23.3,1.79,0.42,0.09,0.40,18.9,0.37,0.00,0.00,0.14,0.14,0.08,0.03,0.03,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0.00,0.22,0.22,100.0,0.22,0.22,0.00,0.00,18.4,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,0.00,0.08,0.04,50.0,0.08,0.04,0.00,0.00,32.1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,0.00,0.25,0.09,37.5,0.25,0.09,0.00,0.00,14.0,0.03,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,0.30,2.52,0.82,32.5,2.51,0.82,0.12,0.37,14.3,0.00,0.00,0.03,0.34,0.33,0.13,-0.03,-0.02,Matches,ac05f970
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0.00,3.33,0.00,0.0,3.33,0.00,0.00,,13.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,0.13,2.99,0.89,29.8,2.99,0.89,0.04,0.14,17.0,0.00,0.00,0.00,0.27,0.27,0.09,-0.15,-0.15,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,0.12,2.32,0.55,23.7,2.32,0.55,0.05,0.22,19.8,0.00,0.00,0.00,0.17,0.17,0.07,-0.05,-0.05,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,28d596a0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,0.35,2.87,1.39,48.5,2.86,1.39,0.12,0.25,14.2,0.00,0.00,0.17,0.50,0.36,0.13,-0.16,-0.01,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,0.13,1.56,0.36,22.9,1.56,0.36,0.09,0.38,16.4,0.04,0.00,0.00,0.17,0.17,0.11,-0.03,-0.03,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,0.08,0.75,0.12,15.8,0.75,0.12,0.11,0.67,12.8,0.00,0.00,0.00,0.06,0.06,0.09,0.02,0.02,Matches,420d7c7d
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,0.04,0.57,0.17,30.8,0.57,0.17,0.08,0.25,13.6,0.00,0.00,0.00,0.05,0.05,0.09,-0.01,-0.01,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,0.12,2.47,0.94,38.1,2.48,0.95,0.05,0.13,18.7,0.47,0.00,0.00,0.19,0.19,0.08,-0.07,-0.07,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,a1232f4e
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0.00,3.75,0.00,0.0,3.86,0.00,0.00,,14.0,0.00,0.00,0.00,0.37,0.37,0.09,-0.37,-0.37,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,0.32,3.23,0.81,25.0,3.22,0.81,0.10,0.40,13.6,0.00,0.00,0.00,0.63,0.63,0.20,-0.31,-0.31,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,0.10,1.19,0.40,33.3,1.19,0.40,0.08,0.25,18.9,0.00,0.00,0.00,0.07,0.07,0.06,0.03,0.03,Matches,2886c9b5
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2.0,0.50,4.50,2.00,44.4,4.53,02.01,0.11,0.25,20.9,0.00,0.00,0.00,0.60,0.60,0.13,-0.10,-0.10,Matches,3a24769f
